,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
29,Khud Se,0.511,0.4,7,-7.971,1,0.0242,0.898,0.000985,0.168,0.236,95.025,audio_features,62awrpMuJk0nIDSZco01iy,spotify:track:62awrpMuJk0nIDSZco01iy,https://api.spotify.com/v1/tracks/62awrpMuJk0nIDSZco01iy,https://api.spotify.com/v1/audio-analysis/62awrpMuJk0nIDSZco01iy,289141,4
30,LAIDBACK,0.487,0.97,9,-3.156,0,0.0729,0.00229,0.0,0.0559,0.815,89.928,audio_features,4s9LfTk4e4LAXyQek53fa5,spotify:track:4s9LfTk4e4LAXyQek53fa5,https://api.spotify.com/v1/tracks/4s9LfTk4e4LAXyQek53fa5,https://api.spotify.com/v1/audio-analysis/4s9LfTk4e4LAXyQek53fa5,213213,4
31,"Dilbar (From ""Satyameva Jayate"")",0.725,0.912,9,-3.665,0,0.0851,0.155,7.68e-05,0.107,0.674,104.054,audio_features,4tjLYTXFqZhkUDga4bQ0yl,spotify:track:4tjLYTXFqZhkUDga4bQ0yl,https://api.spotify.com/v1/tracks/4tjLYTXFqZhkUDga4bQ0yl,https://api.spotify.com/v1/audio-analysis/4tjLYTXFqZhkUDga4bQ0yl,184433,4
32,Buttabomma,0.666,0.644,11,-8.964,0,0.145,0.753,0.000262,0.124,0.89,115.1,audio_features,0dnDTvdUco2UbaBjUtPxNS,spotify:track:0dnDTvdUco2UbaBjUtPxNS,https://api.spotify.com/v1/tracks/0dnDTvdUco2UbaBjUtPxNS,https://api.spotify.com/v1/audio-analysis/0dnDTvdUco2UbaBjUtPxNS,198783,4
33,R U Mine?,0.288,0.758,6,-5.692,0,0.0371,0.00616,0.0,0.303,0.619,97.094,audio_features,2AT8iROs4FQueDv2c8q2KE,spotify:track:2AT8iROs4FQueDv2c8q2KE,https://api.spotify.com/v1/tracks/2AT8iROs4FQueDv2c8q2KE,https://api.spotify.com/v1/audio-analysis/2AT8iROs4FQueDv2c8q2KE,201726,4
34,2024,0.392,0.984,10,-3.384,0,0.196,2.32e-05,0.0096,0.131,0.237,90.515,audio_features,07UdfUFR3Ku3saas0hOJHL,spotify:track:07UdfUFR3Ku3saas0hOJHL,https://api.spotify.com/v1/tracks/07UdfUFR3Ku3saas0hOJHL,https://api.spotify.com/v1/audio-analysis/07UdfUFR3Ku3saas0hOJHL,190333,4
35,Flowers,0.706,0.691,0,-4.775,1,0.0633,0.0584,6.99e-05,0.0232,0.632,118.048,audio_features,7DSAEUvxU8FajXtRloy8M0,spotify:track:7DSAEUvxU8FajXtRloy8M0,https://api.spotify.com/v1/tracks/7DSAEUvxU8FajXtRloy8M0,https://api.spotify.com/v1/audio-analysis/7DSAEUvxU8FajXtRloy8M0,200600,4
36,Laung Gawacha,0.573,0.9,0,-4.855,0,0.0368,0.00498,0.00932,0.0952,0.415,91.988,audio_features,11j7AtNPZNq6BUQhAYrWvC,spotify:track:11j7AtNPZNq6BUQhAYrWvC,https://api.spotify.com/v1/tracks/11j7AtNPZNq6BUQhAYrWvC,https://api.spotify.com/v1/audio-analysis/11j7AtNPZNq6BUQhAYrWvC,213913,4
37,Kansas,0.641,0.792,7,-6.453,1,0.0272,0.0725,0.513,0.175,0.67,87.069,audio_features,7FJ7lHtpbWvPKe3zCoeAWC,spotify:track:7FJ7lHtpbWvPKe3zCoeAWC,https://api.spotify.com/v1/tracks/7FJ7lHtpbWvPKe3zCoeAWC,https://api.spotify.com/v1/audio-analysis/7FJ7lHtpbWvPKe3zCoeAWC,248493,4
38,Lotus Eater,0.597,0.733,11,-4.727,0,0.11,0.00457,0.00191,0.501,0.866,87.479,audio_features,6ReKt5x6FVUXTMdWNC6GAQ,spotify:track:6ReKt5x6FVUXTMdWNC6GAQ,https://api.spotify.com/v1/tracks/6ReKt5x6FVUXTMdWNC6GAQ,https://api.spotify.com/v1/audio-analysis/6ReKt5x6FVUXTMdWNC6GAQ,182653,4
