,Unnamed: 0,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,endTime,artistName,trackName,msPlayed
625,277,"Yuvraj Singh - Cricket, Dhoni, Life & Health | Darr Ke Aage Jeet Hai Stories On TRS हिंदी 212",0.5,0.715,4,-2.701,0,0.0938,0.00773,0.0,0.0862,0.391,168.089,audio_features,5DYuaaHBXIYhXhZAyAIWeF,spotify:track:5DYuaaHBXIYhXhZAyAIWeF,https://api.spotify.com/v1/tracks/5DYuaaHBXIYhXhZAyAIWeF,https://api.spotify.com/v1/audio-analysis/5DYuaaHBXIYhXhZAyAIWeF,288594,4,2023-11-10 20:38,The Ranveer Show हिंदी,"Yuvraj Singh - Cricket, Dhoni, Life & Health | Darr Ke Aage Jeet Hai Stories On TRS हिंदी 212",87486
626,277,"Yuvraj Singh - Cricket, Dhoni, Life & Health | Darr Ke Aage Jeet Hai Stories On TRS हिंदी 212",0.5,0.715,4,-2.701,0,0.0938,0.00773,0.0,0.0862,0.391,168.089,audio_features,5DYuaaHBXIYhXhZAyAIWeF,spotify:track:5DYuaaHBXIYhXhZAyAIWeF,https://api.spotify.com/v1/tracks/5DYuaaHBXIYhXhZAyAIWeF,https://api.spotify.com/v1/audio-analysis/5DYuaaHBXIYhXhZAyAIWeF,288594,4,2023-11-11 11:55,The Ranveer Show हिंदी,"Yuvraj Singh - Cricket, Dhoni, Life & Health | Darr Ke Aage Jeet Hai Stories On TRS हिंदी 212",5301394
627,277,"Yuvraj Singh - Cricket, Dhoni, Life & Health | Darr Ke Aage Jeet Hai Stories On TRS हिंदी 212",0.5,0.715,4,-2.701,0,0.0938,0.00773,0.0,0.0862,0.391,168.089,audio_features,5DYuaaHBXIYhXhZAyAIWeF,spotify:track:5DYuaaHBXIYhXhZAyAIWeF,https://api.spotify.com/v1/tracks/5DYuaaHBXIYhXhZAyAIWeF,https://api.spotify.com/v1/audio-analysis/5DYuaaHBXIYhXhZAyAIWeF,288594,4,2023-11-12 11:34,The Ranveer Show हिंदी,"Yuvraj Singh - Cricket, Dhoni, Life & Health | Darr Ke Aage Jeet Hai Stories On TRS हिंदी 212",4881153
628,277,"Yuvraj Singh - Cricket, Dhoni, Life & Health | Darr Ke Aage Jeet Hai Stories On TRS हिंदी 212",0.5,0.715,4,-2.701,0,0.0938,0.00773,0.0,0.0862,0.391,168.089,audio_features,5DYuaaHBXIYhXhZAyAIWeF,spotify:track:5DYuaaHBXIYhXhZAyAIWeF,https://api.spotify.com/v1/tracks/5DYuaaHBXIYhXhZAyAIWeF,https://api.spotify.com/v1/audio-analysis/5DYuaaHBXIYhXhZAyAIWeF,288594,4,2023-11-13 09:12,The Ranveer Show हिंदी,"Yuvraj Singh - Cricket, Dhoni, Life & Health | Darr Ke Aage Jeet Hai Stories On TRS हिंदी 212",4541211
629,277,"Yuvraj Singh - Cricket, Dhoni, Life & Health | Darr Ke Aage Jeet Hai Stories On TRS हिंदी 212",0.5,0.715,4,-2.701,0,0.0938,0.00773,0.0,0.0862,0.391,168.089,audio_features,5DYuaaHBXIYhXhZAyAIWeF,spotify:track:5DYuaaHBXIYhXhZAyAIWeF,https://api.spotify.com/v1/tracks/5DYuaaHBXIYhXhZAyAIWeF,https://api.spotify.com/v1/audio-analysis/5DYuaaHBXIYhXhZAyAIWeF,288594,4,2023-11-29 13:38,The Ranveer Show हिंदी,"Yuvraj Singh - Cricket, Dhoni, Life & Health | Darr Ke Aage Jeet Hai Stories On TRS हिंदी 212",615823
630,277,"Yuvraj Singh - Cricket, Dhoni, Life & Health | Darr Ke Aage Jeet Hai Stories On TRS हिंदी 212",0.5,0.715,4,-2.701,0,0.0938,0.00773,0.0,0.0862,0.391,168.089,audio_features,5DYuaaHBXIYhXhZAyAIWeF,spotify:track:5DYuaaHBXIYhXhZAyAIWeF,https://api.spotify.com/v1/tracks/5DYuaaHBXIYhXhZAyAIWeF,https://api.spotify.com/v1/audio-analysis/5DYuaaHBXIYhXhZAyAIWeF,288594,4,2023-11-29 21:20,The Ranveer Show हिंदी,"Yuvraj Singh - Cricket, Dhoni, Life & Health | Darr Ke Aage Jeet Hai Stories On TRS हिंदी 212",2014902
631,277,"Yuvraj Singh - Cricket, Dhoni, Life & Health | Darr Ke Aage Jeet Hai Stories On TRS हिंदी 212",0.5,0.715,4,-2.701,0,0.0938,0.00773,0.0,0.0862,0.391,168.089,audio_features,5DYuaaHBXIYhXhZAyAIWeF,spotify:track:5DYuaaHBXIYhXhZAyAIWeF,https://api.spotify.com/v1/tracks/5DYuaaHBXIYhXhZAyAIWeF,https://api.spotify.com/v1/audio-analysis/5DYuaaHBXIYhXhZAyAIWeF,288594,4,2023-12-27 15:19,The Ranveer Show हिंदी,"Yuvraj Singh - Cricket, Dhoni, Life & Health | Darr Ke Aage Jeet Hai Stories On TRS हिंदी 212",1805055
632,277,"Yuvraj Singh - Cricket, Dhoni, Life & Health | Darr Ke Aage Jeet Hai Stories On TRS हिंदी 212",0.5,0.715,4,-2.701,0,0.0938,0.00773,0.0,0.0862,0.391,168.089,audio_features,5DYuaaHBXIYhXhZAyAIWeF,spotify:track:5DYuaaHBXIYhXhZAyAIWeF,https://api.spotify.com/v1/tracks/5DYuaaHBXIYhXhZAyAIWeF,https://api.spotify.com/v1/audio-analysis/5DYuaaHBXIYhXhZAyAIWeF,288594,4,2023-12-28 10:05,The Ranveer Show हिंदी,"Yuvraj Singh - Cricket, Dhoni, Life & Health | Darr Ke Aage Jeet Hai Stories On TRS हिंदी 212",34313
633,278,Pichaak,0.796,0.673,2,-5.246,1,0.611,0.883,2.1e-06,0.179,0.763,165.929,audio_features,0tC4gJXNi9OEBySV2y17Wt,spotify:track:0tC4gJXNi9OEBySV2y17Wt,https://api.spotify.com/v1/tracks/0tC4gJXNi9OEBySV2y17Wt,https://api.spotify.com/v1/audio-analysis/0tC4gJXNi9OEBySV2y17Wt,248521,4,2023-11-14 15:06,Varikuppala Yadagiri,Pichaak,248520
634,278,Pichaak,0.796,0.673,2,-5.246,1,0.611,0.883,2.1e-06,0.179,0.763,165.929,audio_features,0tC4gJXNi9OEBySV2y17Wt,spotify:track:0tC4gJXNi9OEBySV2y17Wt,https://api.spotify.com/v1/tracks/0tC4gJXNi9OEBySV2y17Wt,https://api.spotify.com/v1/audio-analysis/0tC4gJXNi9OEBySV2y17Wt,248521,4,2023-12-22 09:17,Varikuppala Yadagiri,Pichaak,248520
